"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
Car,Car SUV,2012,1265,0.094,29.6,19.8,27.1,23.4,3915,,167,211,8.7,1.260,0.0536,58.6,,,81.6%,14.5%,3.9%,0.4%,,88.4%,11.2%,,,39.5%,60.4%,,,98.0%,98.0%,0.4%,,,
Car,Car SUV,2013,1514,0.100,31.1,20.7,28.4,24.5,3966,,161,214,8.7,1.351,0.0534,62.1,,,90.6%,7.8%,1.6%,0.3%,,89.8%,9.8%,,,47.8%,52.2%,,,99.9%,99.9%,0.3%,,,
Car,Car SUV,2014,1566,0.101,31.4,20.8,28.5,24.6,3865,,154,204,8.8,1.347,0.0523,61.0,,,91.0%,7.7%,1.3%,0.7%,,90.0%,9.4%,,,51.8%,48.1%,,,99.9%,99.9%,0.1%,,,
Car,Car SUV,2015,-,0.106,31.6,21.1,28.8,24.9,3903,,156,207,8.7,1.349,0.0528,62.3,,,87.2%,11.1%,1.6%,0.5%,,83.1%,16.4%,,,59.3%,40.7%,,,100.0%,100.0%,0.3%,,,
Car,All,1975,8247,0.807,15.8,12.3,15.2,13.5,4057,,288,136,,0.515,0.0331,32.3,,,6.5%,,93.5%,19.7%,80.0%,0.3%,,,94.6%,,5.1%,,0.2%,,,,55.4%,23.3%,21.2%
Car,All,1976,9734,0.789,17.5,13.7,16.6,14.9,4059,,287,134,,0.502,0.0324,35.5,,,5.8%,,94.2%,17.2%,82.8%,,,,96.6%,,3.2%,,0.3%,,,,55.4%,25.2%,19.4%
Car,All,1977,11318,0.801,18.3,14.4,17.4,15.6,3944,,279,133,,0.516,0.0335,36.4,,,6.8%,,93.2%,16.9%,83.1%,,,,95.3%,,4.2%,,0.5%,,,,52.0%,24.5%,23.5%
Car,All,1978,11191,0.775,19.9,15.5,19.1,16.9,3588,,251,124,13.7,0.538,0.0342,35.9,,,9.6%,,90.4%,19.9%,73.0%,7.1%,,,94.0%,,5.1%,,0.9%,,,,44.7%,34.4%,20.9%
Car,All,1979,10810,0.779,20.2,15.9,19.2,17.2,3485,,238,119,14.5,0.545,0.0338,35.4,,,11.9%,0.3%,87.8%,21.1%,69.6%,8.8%,,0.5%,93.2%,,4.7%,,2.1%,,,,43.7%,34.2%,22.1%
Car,All,1980,9444,0.835,23.5,18.3,22.6,20.0,3101,,188,100,15.5,0.583,0.0322,36.6,,,29.7%,0.9%,69.4%,30.9%,51.6%,16.8%,,0.6%,88.7%,,6.2%,0.7%,4.4%,,,,54.4%,34.4%,11.3%
